Game_Date,Team_Name,Location,Q1,Q2,Q3,Q4,Total_Score
2023-12-13T00:00:00,Lakers,Away,34,29,29,30,122
2023-12-12T00:00:00,Lakers,Away,26,35,34,30,125
2023-12-07T00:00:00,Lakers,Home,29,38,43,23,133
2023-12-05T00:00:00,Lakers,Home,33,26,24,23,106
2023-12-02T00:00:00,Lakers,Home,25,35,26,21,107
2023-11-30T00:00:00,Lakers,Away,37,23,28,22,110
2023-11-29T00:00:00,Lakers,Away,38,27,36,32,133
2023-11-27T00:00:00,Lakers,Away,19,34,27,14,94
2023-11-25T00:00:00,Lakers,Away,35,35,23,28,121
2023-11-22T00:00:00,Lakers,Home,25,21,25,30,101
2023-11-21T00:00:00,Lakers,Home,32,30,40,29,131
2023-11-19T00:00:00,Lakers,Home,20,29,32,24,105
2023-11-17T00:00:00,Lakers,Away,30,30,22,25,107
2023-11-15T00:00:00,Lakers,Home,25,34,21,30,110
2023-11-14T00:00:00,Lakers,Home,37,37,33,27,134
2023-11-12T00:00:00,Lakers,Home,31,25,35,25,116
2023-11-10T00:00:00,Lakers,Away,25,30,34,33,122
2023-11-08T00:00:00,Lakers,Away,19,26,26,23,94
2023-11-06T00:00:00,Lakers,Away,33,26,20,28,107
2023-11-04T00:00:00,Lakers,Away,25,26,29,21,101
2023-11-01T00:00:00,Lakers,Home,24,24,39,30,117
2023-10-30T00:00:00,Lakers,Home,29,25,27,25,106
2023-10-29T00:00:00,Lakers,Away,28,27,28,32,115
2023-10-26T00:00:00,Lakers,Home,18,30,24,28,100
2023-10-24T00:00:00,Lakers,Away,20,34,26,27,107
2023-12-16T00:00:00,Heat,Home,36,22,33,27,118
2023-12-14T00:00:00,Heat,Home,22,34,32,28,116
2023-12-13T00:00:00,Heat,Home,22,34,35,24,115
2023-12-11T00:00:00,Heat,Away,29,30,30,27,116
2023-12-08T00:00:00,Heat,Home,25,27,23,24,99
2023-12-06T00:00:00,Heat,Away,37,27,23,25,112
2023-12-02T00:00:00,Heat,Home,31,34,33,31,129
2023-11-30T00:00:00,Heat,Home,33,31,33,45,142
2023-11-28T00:00:00,Heat,Home,22,40,35,27,124
2023-11-25T00:00:00,Heat,Away,22,31,23,21,97
2023-11-24T00:00:00,Heat,Away,28,22,37,11,98
2023-11-22T00:00:00,Heat,Away,37,32,32,28,129
2023-11-20T00:00:00,Heat,Away,33,32,28,25,118
2023-11-18T00:00:00,Heat,Away,26,24,26,21,97
2023-11-16T00:00:00,Heat,Home,30,30,35,27,122
2023-11-14T00:00:00,Heat,Away,24,33,30,24,111
2023-11-12T00:00:00,Heat,Away,15,35,32,36,118
2023-11-11T00:00:00,Heat,Away,41,22,30,24,117
2023-11-08T00:00:00,Heat,Away,33,21,23,31,108
2023-11-06T00:00:00,Heat,Home,33,29,28,18,108
2023-11-03T00:00:00,Heat,Home,34,26,41,20,121
2023-11-01T00:00:00,Heat,Home,32,24,27,22,105
2023-10-30T00:00:00,Heat,Away,28,24,21,41,114
2023-10-28T00:00:00,Heat,Away,31,22,20,17,90
2023-10-27T00:00:00,Heat,Away,28,27,33,23,111
2023-10-25T00:00:00,Heat,Home,26,32,25,20,103
2023-12-17T00:00:00,Bucks,Home,33,38,29,28,128
2023-12-16T00:00:00,Bucks,Home,43,38,33,32,146
2023-12-13T00:00:00,Bucks,Home,36,34,31,39,140
2023-12-11T00:00:00,Bucks,Home,37,37,17,27,118
2023-12-07T00:00:00,Bucks,Home,29,22,43,25,119
2023-12-05T00:00:00,Bucks,Home,37,38,37,34,146
2023-12-02T00:00:00,Bucks,Home,42,25,32,33,132
2023-11-30T00:00:00,Bucks,Away,24,31,25,26,106
2023-11-28T00:00:00,Bucks,Away,31,28,34,38,131
2023-11-26T00:00:00,Bucks,Home,26,26,23,33,108
2023-11-24T00:00:00,Bucks,Home,34,26,32,39,131
2023-11-22T00:00:00,Bucks,Away,17,36,26,37,116
2023-11-20T00:00:00,Bucks,Away,31,39,34,38,142
2023-11-18T00:00:00,Bucks,Home,33,27,29,43,132
2023-11-17T00:00:00,Bucks,Away,28,31,33,38,130
2023-11-15T00:00:00,Bucks,Away,36,34,30,28,128
2023-11-13T00:00:00,Bucks,Home,35,24,24,35,118
2023-11-11T00:00:00,Bucks,Away,25,24,23,25,97
2023-11-09T00:00:00,Bucks,Away,24,36,34,30,124
2023-11-08T00:00:00,Bucks,Home,24,38,28,30,120
2023-11-06T00:00:00,Bucks,Away,29,34,33,33,129
2023-11-03T00:00:00,Bucks,Home,21,35,26,28,110
2023-11-01T00:00:00,Bucks,Away,18,26,35,32,111
2023-10-30T00:00:00,Bucks,Home,28,34,35,25,122
2023-10-29T00:00:00,Bucks,Home,25,22,33,30,110
2023-10-26T00:00:00,Bucks,Home,30,33,25,30,118
2023-12-16T00:00:00,Timberwolves,Home,23,34,38,32,127
2023-12-14T00:00:00,Timberwolves,Away,26,33,28,32,119
2023-12-11T00:00:00,Timberwolves,Away,29,23,34,21,107
2023-12-08T00:00:00,Timberwolves,Away,33,27,38,29,127
2023-12-06T00:00:00,Timberwolves,Home,25,21,25,31,102
2023-12-02T00:00:00,Timberwolves,Away,30,32,26,35,123
2023-11-30T00:00:00,Timberwolves,Home,20,29,35,17,101
2023-11-28T00:00:00,Timberwolves,Home,19,34,23,30,106
2023-11-26T00:00:00,Timberwolves,Away,31,29,30,29,119
2023-11-24T00:00:00,Timberwolves,Home,31,33,15,32,111
2023-11-22T00:00:00,Timberwolves,Home,37,20,34,21,112
2023-11-20T00:00:00,Timberwolves,Home,31,27,35,24,117
2023-11-18T00:00:00,Timberwolves,Away,27,32,26,36,121
2023-11-15T00:00:00,Timberwolves,Away,29,25,28,33,115
2023-11-14T00:00:00,Timberwolves,Away,22,32,22,28,104
2023-11-12T00:00:00,Timberwolves,Away,29,25,35,27,116
2023-11-10T00:00:00,Timberwolves,Away,22,34,34,27,117
2023-11-08T00:00:00,Timberwolves,Home,28,44,25,25,122
2023-11-06T00:00:00,Timberwolves,Home,29,23,27,22,101
2023-11-04T00:00:00,Timberwolves,Home,29,26,37,31,123
2023-11-01T00:00:00,Timberwolves,Home,28,35,26,21,110
2023-10-30T00:00:00,Timberwolves,Away,42,37,19,15,113
2023-10-28T00:00:00,Timberwolves,Home,26,29,25,26,106
2023-10-25T00:00:00,Timberwolves,Away,25,26,23,20,94
2023-12-16T00:00:00,Nets,Away,25,29,35,31,120
2023-12-14T00:00:00,Nets,Away,22,17,28,34,101
